tweet_id,tweet_text,created_at,user_id,user_name,conversation_id,lang,is_reply,in_reply_to_username,in_reply_to_tweet_id,tweet_url,retweet_count,quote_count,reply_count,like_count,tweet_clean_text
1.8672550149236367e+18,Took the @MercedesBenz in for one issue..paid thousands. Got the vehicle back and the next day it’s making noise it never has &amp; they now won’t return my calls or fix that🤦🏿‍♂️🤦🏿‍♂️,Thu Dec 12 17:07:42 +0000 2024,18360738.0,ceocheckmate,1.8672550149236367e+18,en,False,,,https://x.com/ceocheckmate/status/1867255014923636855,0,0,1,0,took issuepaid thousands got vehicle day making noise amp wo return calls fix
1.5900728958749532e+18,"@MercedesBenzInd @MercedesBenz I recently purchased GLS 400d from Berkeley Motors, Dehradun (UK07FF6768) recently. I’ve received this mail and error on App. Have I paid 1.5 Crore for this freaking car error on the new benz, neither happened on my 10L car. https://t.co/UglkbB2B3D",Tue Nov 08 20:04:55 +0000 2022,8.688898881664328e+17,SHREE_GANESH_IN,1.5900728958749532e+18,en,False,MercedesBenzInd,,https://x.com/SHREE_GANESH_IN/status/1590072895874953221,1,0,2,0,recently purchased gls d berkeley motors dehradun ukff recently received mail error app paid crore freaking car error new benz happened l car
1.882079854436504e+18,"@MercedesBenz please add the feature to turn seat, wheel and AC/Heat on from the app.",Wed Jan 22 14:56:19 +0000 2025,17264669.0,tiarat,1.882079854436504e+18,en,False,MercedesBenz,,https://x.com/tiarat/status/1882079854436504006,0,0,1,0,add feature turn seat wheel acheat app
1.4965840256364257e+18,@MercedesBenz how much in love currency does it cost https://t.co/8cSypAzJ2S,Wed Feb 23 20:33:31 +0000 2022,319001191.0,Bn_khalifa,1.4965840256364257e+18,en,False,MercedesBenz,,https://x.com/Bn_khalifa/status/1496584025636425728,0,0,1,0,love currency cost
1.4808976733560054e+18,"@MercedesBenz Thank you for your reply, but Mercedes Turkey does not value its customers and does not respond to their e-mails.",Tue Jan 11 13:41:33 +0000 2022,399982942.0,gunaycem,1.4808976733560054e+18,en,False,MercedesBenz,,https://x.com/gunaycem/status/1480897673356005377,0,0,1,0,thank reply mercedes turkey value customers respond emails
1.5630542829787668e+18,"@MercedesBenz My car entered a main dealer 8th August with a display issue. 3 days later they locked up command and waiting a software update. I am told it could be 1 week, 1 month or 6 months and I am told that me not having a car is my problem. 25 Years Mercedes owner",Fri Aug 26 06:42:35 +0000 2022,22763714.0,NigelJChristie,1.5630542829787668e+18,en,False,MercedesBenz,,https://x.com/NigelJChristie/status/1563054282978766849,0,0,1,0,car entered main dealer th august display issue days later locked command waiting software update told week month months told having car problem years mercedes owner
1.6429171899288576e+18,"Once again, 3rd class service from @MercedesBenz Colindale branch. They have been taken over by @SytnerMB but staff is still the same! Service standard has gone down terribly. They love overbooking the appointments. Car never gets serviced on the day! @Sytner @MercedesBenzUK 👎 https://t.co/FOSeYM7JHA",Mon Apr 03 15:49:16 +0000 2023,7.978810890040197e+17,A_Rizvi112,1.6429171899288576e+18,en,False,,,https://x.com/A_Rizvi112/status/1642917189928857602,0,0,1,1,rd class service colindale branch taken staff service standard gone terribly love overbooking appointments car gets serviced day
1.4890525585722737e+18,My ride #Mercedes 2016 c class @MercedesBenz https://t.co/1E7XWTqogF,Thu Feb 03 01:46:09 +0000 2022,1.3915299328036905e+18,lifeofdazz,1.4890525585722737e+18,en,False,,,https://x.com/lifeofdazz/status/1489052558572273670,1,0,1,2,ride mercedes c class
1.465528708849095e+18,"Work hard, get paid, buy your food, open it in @MercedesBenz . Let everyone smell your success.",Tue Nov 30 03:50:47 +0000 2021,7.868470868138721e+17,_january28th,1.465528708849095e+18,en,False,,,https://x.com/_january28th/status/1465528708849094659,44,4,53,329,work hard paid buy food open let smell success
1.4660832884691927e+18,"The reviews @MercedesBenz are getting at their Bromley branch are shocking. Going to collect my car, thought I’d ring ahead… can’t get through. Thought let me check the closing time and stumbled across the reviews… 🥴",Wed Dec 01 16:34:29 +0000 2021,1.2424981457807483e+18,Hewholaughed_,1.4660832884691927e+18,en,False,,,https://x.com/Hewholaughed_/status/1466083288469192708,0,0,1,0,reviews getting bromley branch shocking going collect car thought ring ahead … thought let check closing time stumbled reviews …
1.5823112841583698e+18,@MercedesBenz @MB_Retail Really disappointed - NEW EQA with 2 punctures in 5 months. Clearly the tyres are defective as I suspected.,Tue Oct 18 10:03:02 +0000 2022,20677277.0,amitsodha,1.5823112841583698e+18,en,False,MercedesBenz,,https://x.com/amitsodha/status/1582311284158369793,0,0,2,0,disappointed new eqa punctures months clearly tyres defective suspected
1.505871173195817e+18,Service on Benzy done that's for another year!! Hopefully no more mega costs apart from the Fuel Hike which is what we are all having to put up with. Sun's Shining so Life Is Good now Coffee Time ☕️ @MercedesBenz #MondayVibes #ItIsWhatItIs #Benzy,Mon Mar 21 11:37:20 +0000 2022,259390380.0,MarcTwaite,1.505871173195817e+18,en,False,,,https://x.com/MarcTwaite/status/1505871173195816970,0,0,1,0,service benzy s year hopefully mega costs apart fuel hike having suns shining life good coffee time mondayvibes itiswhatitis benzy
